Gene	Ctrl.0h	Ctrl.CpG.6h	Emp_CpG_6h	Emp_Uns	NCoR1_CpG_6h	NCoR1_Uns	SMRT.0h	SMRT.CpG.6h
35	1110020A21Rik	6.49849819508117	6.51978036858538	6.49239678901325	6.49585730395622	6.48452850124061	6.48910647885555	6.49818284746727	6.53577020043574
36	1110025L11Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
37	1110028F11Rik	6.22191137551199	6.22191137551199	6.30709866285715	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
38	1110028F18Rik	6.28745503337913	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
39	1110032A03Rik	7.29407087983002	7.31182994027329	7.34170863317483	7.48530337522291	7.16115285403346	7.39037504099956	7.30508992604376	7.32284374648624
40	1110032F04Rik	6.22191137551199	7.10626005734147	9.38721694671618	6.28632807543835	9.41289406142098	6.22191137551199	6.26514757203609	8.12248750234577
41	1110034G24Rik	7.26848702443892	7.05562430893045	7.1423672452683	7.29409877928296	7.02779017488743	7.38530105095429	7.30677198238361	7.14062806100213
42	1110036E04Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
43	1110037F02Rik	11.6884143118204	11.4607018541656	11.6466458776062	11.7649574252616	11.0147987832973	11.4948885542107	11.484540616737	11.3979692470445
44	1110038B12Rik	9.50891864771842	9.97439647730635	9.04266525081715	8.4568161029371	9.33782487380006	8.88387181451873	9.55980545027144	9.95505491434528
45	1110038F14Rik	9.12201627371647	9.24353260424564	9.60726869793478	9.2837262951048	9.62042537746578	9.19919199671261	9.20756278206575	9.49244467817511
46	1110046J04Rik	6.22191137551199	6.25466253709935	6.22191137551199	6.22191137551199	6.29907646011862	6.3004804185915	6.22191137551199	6.33031985278452
47	1110051M20Rik	7.67530699448806	7.57638834911227	8.26063647081386	8.35714616898419	7.41734582503872	7.58462474079963	7.97403110406944	7.93612946905534
48	1110058D11Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.3004804185915	6.22191137551199	6.22191137551199
49	1110059E24Rik	9.35093684058509	9.60709007758621	9.44690262812427	9.45164927295416	9.12107846464161	9.14465371071338	9.33193284657055	9.10775398854905
50	1110059G10Rik	8.61519629428701	8.58884261558042	8.70540388133512	8.86481679984076	8.77319158296954	8.81321281703601	8.79814303083112	8.72049960178301
